Country,Region,HappinessRank,HappinessScore,StandardError,Economy,Family,LifeExpectancy,Freedom,Trust (Government Corruption),Generosity,Dystopia Residual
Switzerland,Western Europe,1,7.587,0.034,1.397,1.350,0.941,0.666,0.420,0.297,2.517
Iceland,Western Europe,2,7.561,0.049,1.302,1.402,0.948,0.629,0.141,0.436,2.702
Denmark,Western Europe,3,7.527,0.033,1.325,1.361,0.875,0.649,0.484,0.341,2.492
Norway,Western Europe,4,7.522,0.039,1.459,1.331,0.885,0.670,0.365,0.347,2.465
Canada,North America,5,7.427,0.036,1.326,1.323,0.906,0.633,0.330,0.458,2.452
Finland,Western Europe,6,7.406,0.031,1.290,1.318,0.889,0.642,0.414,0.234,2.620
Netherlands,Western Europe,7,7.378,0.028,1.329,1.280,0.893,0.616,0.318,0.476,2.466
Sweden,Western Europe,8,7.364,0.032,1.332,1.289,0.911,0.660,0.438,0.363,2.371
New Zealand,Australia and New Zealand,9,7.286,0.034,1.250,1.320,0.908,0.639,0.429,0.475,2.264
Australia,Australia and New Zealand,10,7.284,0.041,1.334,1.309,0.932,0.651,0.356,0.436,2.266
Israel,Middle East and Northern Africa,11,7.278,0.035,1.229,1.224,0.914,0.413,0.078,0.332,3.089
Costa Rica,Latin America and Caribbean,12,7.226,0.045,0.956,1.238,0.860,0.634,0.106,0.255,3.177
Austria,Western Europe,13,7.200,0.038,1.337,1.297,0.890,0.624,0.187,0.331,2.533
Mexico,Latin America and Caribbean,14,7.187,0.042,1.021,0.915,0.814,0.482,0.213,0.141,3.602
United States,North America,15,7.119,0.038,1.395,1.247,0.862,0.546,0.159,0.401,2.510
Brazil,Latin America and Caribbean,16,6.983,0.041,0.981,1.233,0.697,0.490,0.175,0.146,3.260
Luxembourg,Western Europe,17,6.946,0.035,1.564,1.220,0.919,0.616,0.378,0.280,1.970
Ireland,Western Europe,18,6.940,0.037,1.336,1.369,0.895,0.618,0.287,0.459,1.976
Belgium,Western Europe,19,6.937,0.036,1.308,1.286,0.897,0.585,0.225,0.223,2.415
United Arab Emirates,Middle East and Northern Africa,20,6.901,0.037,1.427,1.126,0.809,0.642,0.386,0.264,2.247
United Kingdom,Western Europe,21,6.867,0.019,1.266,1.285,0.909,0.596,0.321,0.519,1.970
Oman,Middle East and Northern Africa,22,6.853,0.053,1.360,1.082,0.763,0.633,0.325,0.215,2.475
Venezuela,Latin America and Caribbean,23,6.810,0.065,1.044,1.256,0.721,0.429,0.111,0.058,3.191
Singapore,Southeastern Asia,24,6.798,0.038,1.522,1.020,1.025,0.543,0.492,0.311,1.885
Panama,Latin America and Caribbean,25,6.786,0.049,1.064,1.199,0.797,0.542,0.093,0.244,2.848
Germany,Western Europe,26,6.750,0.018,1.328,1.299,0.892,0.615,0.218,0.282,2.116
Chile,Latin America and Caribbean,27,6.670,0.058,1.107,1.124,0.859,0.441,0.129,0.334,2.676
Qatar,Middle East and Northern Africa,28,6.611,0.063,1.690,1.079,0.797,0.640,0.522,0.326,1.557
France,Western Europe,29,6.575,0.035,1.278,1.260,0.946,0.550,0.206,0.123,2.211
Argentina,Latin America and Caribbean,30,6.574,0.046,1.054,1.248,0.787,0.450,0.085,0.115,2.836
Czech Republic,Central and Eastern Europe,31,6.505,0.042,1.179,1.206,0.845,0.464,0.027,0.107,2.678
Uruguay,Latin America and Caribbean,32,6.485,0.045,1.062,1.209,0.812,0.604,0.246,0.232,2.321
Colombia,Latin America and Caribbean,33,6.477,0.051,0.919,1.240,0.691,0.535,0.051,0.184,2.857
Thailand,Southeastern Asia,34,6.455,0.036,0.967,1.265,0.739,0.557,0.032,0.576,2.319
Saudi Arabia,Middle East and Northern Africa,35,6.411,0.046,1.395,1.084,0.720,0.310,0.325,0.137,2.439
Spain,Western Europe,36,6.329,0.035,1.230,1.314,0.956,0.460,0.064,0.182,2.124
Malta,Western Europe,37,6.302,0.042,1.207,1.302,0.887,0.604,0.136,0.518,1.649
Taiwan,Eastern Asia,38,6.298,0.039,1.291,1.076,0.875,0.397,0.081,0.254,2.323
Kuwait,Middle East and Northern Africa,39,6.295,0.045,1.554,1.166,0.725,0.555,0.256,0.162,1.876
Suriname,Latin America and Caribbean,40,6.269,0.098,0.995,0.972,0.608,0.597,0.136,0.170,2.791
Trinidad and Tobago,Latin America and Caribbean,41,6.168,0.109,1.212,1.184,0.615,0.559,0.011,0.318,2.269
El Salvador,Latin America and Caribbean,42,6.130,0.056,0.765,1.025,0.677,0.404,0.118,0.107,3.035
Guatemala,Latin America and Caribbean,43,6.123,0.052,0.746,1.044,0.644,0.577,0.095,0.275,2.743
