month,day,year,tempF,season,tempC
1,1,1995,44,Winter,6.666666667
1,2,1995,41.8,Winter,5.444444444
1,3,1995,28.1,Winter,-2.166666667
1,4,1995,31.7,Winter,-0.166666667
1,5,1995,21.3,Winter,-5.944444444
1,6,1995,27.9,Winter,-2.277777778
1,7,1995,42.8,Winter,6
1,8,1995,35.5,Winter,1.944444444
1,9,1995,34.4,Winter,1.333333333
1,10,1995,29.9,Winter,-1.166666667
1,11,1995,30.7,Winter,-0.722222222
1,12,1995,35.5,Winter,1.944444444
1,13,1995,47.2,Winter,8.444444444
1,14,1995,52.4,Winter,11.33333333
1,15,1995,56.9,Winter,13.83333333
1,16,1995,55.2,Winter,12.88888889
1,17,1995,50.3,Winter,10.16666667
1,18,1995,42.6,Winter,5.888888889
1,19,1995,39.3,Winter,4.055555556
1,20,1995,43.1,Winter,6.166666667
1,21,1995,43.2,Winter,6.222222222
1,22,1995,36,Winter,2.222222222
1,23,1995,33.3,Winter,0.722222222
1,24,1995,35.8,Winter,2.111111111
1,25,1995,38.3,Winter,3.5
1,26,1995,36.6,Winter,2.555555556
1,27,1995,34.3,Winter,1.277777778
1,28,1995,28.2,Winter,-2.111111111
1,29,1995,26,Winter,-3.333333333
1,30,1995,33.8,Winter,1
1,31,1995,36.6,Winter,2.555555556
2,1,1995,40.5,Winter,4.722222222
2,2,1995,40.6,Winter,4.777777778
2,3,1995,25.6,Winter,-3.555555556
2,4,1995,31.3,Winter,-0.388888889
2,5,1995,24.7,Winter,-4.055555556
2,6,1995,11.1,Winter,-11.61111111
2,7,1995,19,Winter,-7.222222222
2,8,1995,23.7,Winter,-4.611111111
2,9,1995,22.3,Winter,-5.388888889
2,10,1995,33,Winter,0.555555556
2,11,1995,39.6,Winter,4.222222222
2,12,1995,23.1,Winter,-4.944444444
2,13,1995,19.1,Winter,-7.166666667
2,14,1995,27.5,Winter,-2.5
2,15,1995,29.8,Winter,-1.222222222
2,16,1995,39.9,Winter,4.388888889
2,17,1995,39.4,Winter,4.111111111
2,18,1995,40.5,Winter,4.722222222
2,19,1995,40.6,Winter,4.777777778
2,20,1995,43.1,Winter,6.166666667
2,21,1995,38.1,Winter,3.388888889
2,22,1995,35.3,Winter,1.833333333
2,23,1995,40.2,Winter,4.555555556
2,24,1995,43.3,Winter,6.277777778
2,25,1995,31.2,Winter,-0.444444444
2,26,1995,28.4,Winter,-2
2,27,1995,29.8,Winter,-1.222222222
2,28,1995,34.9,Winter,1.611111111
3,1,1995,39.7,Winter,4.277777778
3,2,1995,35,Winter,1.666666667
3,3,1995,32.6,Winter,0.333333333
3,4,1995,35.4,Winter,1.888888889
3,5,1995,39,Winter,3.888888889
3,6,1995,44,Winter,6.666666667
3,7,1995,45.8,Winter,7.666666667
3,8,1995,52.6,Winter,11.44444444
3,9,1995,35.3,Winter,1.833333333
3,10,1995,27.6,Winter,-2.444444444
3,11,1995,37.5,Winter,3.055555556
3,12,1995,40,Winter,4.444444444
3,13,1995,51.2,Winter,10.66666667
3,14,1995,51.8,Winter,11
3,15,1995,51.2,Winter,10.66666667
3,16,1995,49.7,Winter,9.833333333
3,17,1995,49,Winter,9.444444444
3,18,1995,47.6,Winter,8.666666667
3,19,1995,46.3,Winter,7.944444444
3,20,1995,45.6,Spring,7.555555556
3,21,1995,51.4,Spring,10.77777778
3,22,1995,49.2,Spring,9.555555556
3,23,1995,46,Spring,7.777777778
3,24,1995,43.6,Spring,6.444444444
3,25,1995,41.6,Spring,5.333333333
3,26,1995,49.9,Spring,9.944444444
3,27,1995,48,Spring,8.888888889
3,28,1995,46.7,Spring,8.166666667
3,29,1995,47.9,Spring,8.833333333
3,30,1995,46.7,Spring,8.166666667
3,31,1995,47.6,Spring,8.666666667
4,1,1995,45.8,Spring,7.666666667
4,2,1995,44.1,Spring,6.722222222
4,3,1995,44.2,Spring,6.777777778
4,4,1995,52.2,Spring,11.22222222
4,5,1995,32.2,Spring,0.111111111
4,6,1995,35.3,Spring,1.833333333
4,7,1995,49.6,Spring,9.777777778
4,8,1995,43.8,Spring,6.555555556
4,9,1995,48.1,Spring,8.944444444
4,10,1995,44.6,Spring,7
4,11,1995,48.1,Spring,8.944444444
4,12,1995,46.5,Spring,8.055555556
4,13,1995,55.1,Spring,12.83333333
4,14,1995,48.7,Spring,9.277777778
4,15,1995,48.3,Spring,9.055555556
4,16,1995,50.9,Spring,10.5
4,17,1995,50.3,Spring,10.16666667
4,18,1995,53.1,Spring,11.72222222
4,19,1995,58.1,Spring,14.5
4,20,1995,59.5,Spring,15.27777778
4,21,1995,58.4,Spring,14.66666667
4,22,1995,59.5,Spring,15.27777778
4,23,1995,54.3,Spring,12.38888889
4,24,1995,52.3,Spring,11.27777778
4,25,1995,54.5,Spring,12.5
4,26,1995,56.6,Spring,13.66666667
4,27,1995,61.7,Spring,16.5
4,28,1995,63.4,Spring,17.44444444
4,29,1995,59.4,Spring,15.22222222
4,30,1995,51.5,Spring,10.83333333
5,1,1995,50.7,Spring,10.38888889
5,2,1995,50.6,Spring,10.33333333
5,3,1995,57.2,Spring,14
5,4,1995,62.9,Spring,17.16666667
5,5,1995,58,Spring,14.44444444
5,6,1995,58.9,Spring,14.94444444
5,7,1995,57.9,Spring,14.38888889
5,8,1995,55.6,Spring,13.11111111
5,9,1995,61,Spring,16.11111111
5,10,1995,54.7,Spring,12.61111111
5,11,1995,52,Spring,11.11111111
5,12,1995,56.8,Spring,13.77777778
5,13,1995,62.3,Spring,16.83333333
5,14,1995,58.9,Spring,14.94444444
5,15,1995,56.1,Spring,13.38888889
5,16,1995,62.8,Spring,17.11111111
5,17,1995,63.7,Spring,17.61111111
5,18,1995,67.1,Spring,19.5
5,19,1995,58.3,Spring,14.61111111
5,20,1995,63.5,Spring,17.5
